EMP,ESTAB,old_naics,state,county,NAICS2012
4,3,81299,48,001,81299
4,3,812990,48,001,812990
341,61,813,48,001,813
282,47,8131,48,001,8131
282,47,81311,48,001,81311
282,47,813110,48,001,813110
0,1,8133,48,001,8133
0,1,81331,48,001,81331
0,1,813312,48,001,813312
36,8,8134,48,001,8134
36,8,81341,48,001,81341
36,8,813410,48,001,813410
0,5,8139,48,001,8139
0,2,81391,48,001,81391
0,2,813910,48,001,813910
0,1,81393,48,001,81393
0,1,813930,48,001,813930
0,1,81394,48,001,81394
0,1,813940,48,001,813940
0,1,81399,48,001,81399
0,1,813990,48,001,813990
0,1,99,48,001,99
3392,298,00,48,003,00
676,47,21,48,003,21
70,14,211,48,003,211
70,14,2111,48,003,2111
70,14,21111,48,003,21111
0,12,211111,48,003,211111
0,2,211112,48,003,211112
606,33,213,48,003,213
606,33,2131,48,003,2131
606,33,21311,48,003,21311
0,2,213111,48,003,213111
0,31,213112,48,003,213112
0,3,22,48,003,22
0,3,221,48,003,221
0,1,2211,48,003,2211
0,1,22112,48,003,22112
0,1,221122,48,003,221122
0,1,2212,48,003,2212
0,1,22121,48,003,22121
0,1,221210,48,003,221210
0,1,2213,48,003,2213
0,1,22131,48,003,22131
0,1,221310,48,003,221310
257,35,23,48,003,23
0,2,236,48,003,236
0,2,2361,48,003,2361
0,2,23611,48,003,23611
0,1,236115,48,003,236115
0,1,236117,48,003,236117
0,7,237,48,003,237
56,4,2371,48,003,2371
0,1,23711,48,003,23711
0,1,237110,48,003,237110
0,2,23712,48,003,23712
0,2,237120,48,003,237120
0,1,23713,48,003,23713
0,1,237130,48,003,237130
0,2,2373,48,003,2373
0,2,23731,48,003,23731
0,2,237310,48,003,237310
0,1,2379,48,003,2379
0,1,23799,48,003,23799
0,1,237990,48,003,237990
185,26,238,48,003,238
6,4,2381,48,003,2381
0,2,23814,48,003,23814
0,2,238140,48,003,238140
0,2,23819,48,003,23819
0,2,238190,48,003,238190
82,11,2382,48,003,2382
67,7,23821,48,003,23821
67,7,238210,48,003,238210
15,4,23822,48,003,23822
15,4,238220,48,003,238220
34,4,2383,48,003,2383
0,3,23832,48,003,23832
0,3,238320,48,003,238320
0,1,23835,48,003,23835
0,1,238350,48,003,238350
63,7,2389,48,003,2389
63,7,23891,48,003,23891
63,7,238910,48,003,238910
309,6,31,48,003,31-33
0,1,323,48,003,323
0,1,3231,48,003,3231
0,1,32311,48,003,32311
0,1,323119,48,003,323119
0,1,324,48,003,324
0,1,3241,48,003,3241
0,1,32411,48,003,32411
0,1,324110,48,003,324110
0,1,326,48,003,326
0,1,3261,48,003,3261
0,1,32619,48,003,32619
0,1,326199,48,003,326199
0,1,327,48,003,327
0,1,3273,48,003,3273
0,1,32732,48,003,32732
0,1,327320,48,003,327320
0,1,332,48,003,332
0,1,3321,48,003,3321
0,1,33211,48,003,33211
0,1,332111,48,003,332111
0,1,335,48,003,335
0,1,3352,48,003,3352
0,1,33521,48,003,33521
0,1,335212,48,003,335212
134,14,42,48,003,42
130,10,423,48,003,423
0,1,4231,48,003,4231
0,1,42312,48,003,42312
0,1,423120,48,003,423120
0,1,4233,48,003,4233
0,1,42332,48,003,42332
0,1,423320,48,003,423320
0,1,4236,48,003,4236
0,1,42361,48,003,42361
0,1,423610,48,003,423610
98,6,4238,48,003,4238
0,5,42383,48,003,42383
0,5,423830,48,003,423830
0,1,42384,48,003,42384
0,1,423840,48,003,423840
0,1,4239,48,003,4239
0,1,42394,48,003,42394
0,1,423940,48,003,423940
0,3,424,48,003,424
0,2,4246,48,003,4246
0,2,42469,48,003,42469
0,2,424690,48,003,424690
0,1,4247,48,003,4247
0,1,42471,48,003,42471
0,1,424710,48,003,424710
0,1,425,48,003,425
0,1,4251,48,003,4251
0,1,42512,48,003,42512
0,1,425120,48,003,425120
351,39,44,48,003,44-45
61,9,441,48,003,441
40,4,4411,48,003,4411
40,4,44111,48,003,44111
40,4,441110,48,003,441110
21,5,4413,48,003,4413
0,4,44131,48,003,44131
0,4,441310,48,003,441310
0,1,44132,48,003,44132
0,1,441320,48,003,441320
0,3,443,48,003,443
0,3,4431,48,003,4431
0,3,44311,48,003,44311
0,1,443111,48,003,443111
0,2,443112,48,003,443112
0,1,444,48,003,444
0,1,4441,48,003,4441
0,1,44411,48,003,44411
0,1,444110,48,003,444110
